x,y,Habitat,JunJul,DJF,AprMay
4881.,4131.,Ma,15.267,-0.71243,6.445
4939.,4135.,Ma,15.267,-0.71243,6.445
4877.,4141.,Ma,15.184,-1.0656,6.54595
4905.,4147.,Co,15.267,-0.71243,6.445
4973.,4143.,Ma,16.394,-2.536,7.3701
5051.,4149.,Co,15.823,-1.8409,6.58295
4879.,4153.,Ma,15.184,-1.0656,6.54595
4907.,4159.,Ma,15.267,-0.71243,6.445
5015.,4155.,Ma,16.09,-2.7169,7.1863
5053.,4151.,Co,15.823,-1.8409,6.58295
4841.,4167.,Ma,15.184,-1.0656,6.54595
4889.,4161.,Ma,15.267,-0.71243,6.445
4947.,4167.,Ma,15.726,-2.2315,6.6559
4985.,4163.,Ma,16.394,-2.536,7.3701
5023.,4169.,Co,16.09,-2.7169,7.1863
5061.,4165.,Co,15.899,-2.8434,6.93625
5099.,4169.,Ma,16.061,-3.0523,7.1206
4877.,4175.,Br,15.267,-0.71243,6.445
4945.,4171.,Ma,15.726,-2.2315,6.6559
4973.,4177.,Co,16.394,-2.536,7.3701
5011.,4173.,Ma,16.09,-2.7169,7.1863
5049.,4177.,Co,16.015,-2.7623,7.072
5087.,4173.,Ma,16.061,-3.0523,7.1206
4865.,4189.,Ma,15.184,-1.0656,6.54595
4913.,4185.,Ma,15.267,-0.71243,6.445
4951.,4181.,Co,15.726,-2.2315,6.6559
4989.,4185.,Ma,16.394,-2.536,7.3701
5027.,4181.,Co,16.09,-2.7169,7.1863
5055.,4187.,Urb,15.899,-2.8434,6.93625
5093.,4183.,Co,16.061,-3.0523,7.1206
5121.,4189.,Urb,16.194,-3.1537,7.1795
4959.,4193.,Ma,15.726,-2.2315,6.6559
4987.,4199.,Ma,16.394,-2.536,7.3701
5025.,4195.,Co,16.215,-3.3938,7.44115
5063.,4191.,Br,15.899,-2.8434,6.93625
5091.,4197.,Urb,16.192,-3.1682,7.23155
5139.,4191.,Ma,16.71,-2.867,7.79015
4947.,4207.,Urb,15.726,-2.2315,6.6559
4985.,4203.,Ma,16.394,-2.536,7.3701
5013.,4209.,Co,16.119,-3.2852,7.24525
5051.,4205.,Urb,16.108,-3.6718,7.3952
5089.,4209.,Br,15.999,-3.9345,7.395
5127.,4205.,Urb,16.256,-4.1273,7.48825
4935.,4211.,Ma,15.216,-2.0226,6.087
4963.,4217.,Ma,16.067,-2.4888,7.0998
5001.,4213.,Urb,16.183,-2.9895,7.2222
5039.,4217.,Co,16.222,-3.6043,7.51575
5077.,4213.,Br,15.973,-3.9595,7.28875
5105.,4219.,We,15.934,-4.2052,7.26915
5143.,4215.,Urb,16.71,-2.867,7.79015
5181.,4211.,Ma,16.617,-3.9417,7.62975
4949.,4225.,We,15.726,-2.2315,6.6559
4987.,4221.,Co,16.17,-3.1321,7.3996
5015.,4227.,Urb,16.055,-3.7514,7.37515
5053.,4223.,Urb,16.108,-3.6718,7.3952
5081.,4229.,Co,15.999,-3.9345,7.395
5129.,4223.,Br,16.256,-4.1273,7.48825
5157.,4229.,Br,16.765,-3.7575,7.8348
5195.,4225.,Ma,16.3,-3.6125,7.0807
4953.,4231.,Co,15.726,-2.2315,6.6559
4981.,4237.,Urb,16.17,-3.1321,7.3996
5029.,4231.,Urb,16.043,-3.8962,7.39805
5057.,4237.,Urb,15.964,-4.2045,7.3725
5095.,4233.,Br,15.727,-4.6203,7.1666
5123.,4239.,Co,16.256,-4.1273,7.48825
5161.,4235.,Urb,16.63,-3.6475,7.6157
5199.,4239.,Co,16.3,-3.6125,7.0807
4937.,4245.,Co,15.216,-2.0226,6.087
4975.,4241.,Co,15.752,-3.2677,7.0362
5003.,4247.,Co,15.866,-4.0266,7.31775
5041.,4243.,Urb,15.964,-4.2045,7.3725
5079.,4247.,Co,15.721,-4.5159,7.16595
5117.,4243.,Co,15.989,-4.6312,7.30335
5145.,4249.,Urb,16.378,-4.5235,7.6412
5183.,4245.,Co,16.3,-3.6125,7.0807
5221.,4241.,Ma,16.518,-4.3995,7.43275
4939.,4255.,Ma,15.216,-2.0226,6.087
4977.,4251.,Urb,15.752,-3.2677,7.0362
5005.,4257.,Urb,15.866,-4.0266,7.31775
5043.,4253.,Urb,15.738,-4.5064,7.2694
5071.,4259.,Urb,15.721,-4.5159,7.16595
5119.,4253.,Br,15.989,-4.6312,7.30335
5147.,4259.,Br,16.378,-4.5235,7.6412
5185.,4255.,Co,16.474,-4.4321,7.5405
5223.,4251.,Ma,16.518,-4.3995,7.43275
5251.,4257.,Ma,16.314,-4.3514,7.02505
